Year,trend,Japan,US
1900,1,677,2920
1901,2,692,3190
1902,3,648,3160
1903,4,684,3250
1904,5,682,3150
1905,6,664,3320
1906,7,744,3630
1907,8,760,3620
1908,9,756,3260
1909,10,746,3580
1910,11,748,3550
1911,12,778,3600
1912,13,794,3710
1913,14,795,3790
1914,15,761,3430
1915,16,820,3470
1916,17,935,3900
1917,18,955,3750
1918,19,957,4040
1919,20,1050,4060
1920,21,973,3970
1921,22,1070,3800
1922,23,1050,3960
1923,24,1040,4400
1924,25,1050,4450
1925,26,1080,4490
1926,27,1070,4720
1927,28,1070,4700
1928,29,1140,4690
1929,30,1160,4930
1930,31,1060,4410
1931,32,1050,4010
1932,33,1130,3450
1933,34,1220,3360
1934,35,1200,3600
1935,36,1220,3860
1936,37,1290,4390
1937,38,1330,4570
1938,39,1400,4330
1939,40,1620,4640
1940,41,1650,4970
1941,42,1650,5780
1942,43,1620,6800
1943,44,1620,7930
1944,45,1530,8480
1945,46,772,8230
1946,47,835,6580
1947,48,891,6270
1948,49,997,6400
1949,50,1040,6300
1950,51,1130,6700
1951,52,1250,7260
1952,53,1370,7410
1953,54,1450,7590
1954,55,1510,7350
1955,56,1620,7620
1956,57,1720,7640
1957,58,1830,7620
1958,59,1920,7450
1959,60,2080,7750
1960,61,2330,7770
1961,62,2650,7850
1962,63,2810,8140
1963,64,3070,8370
1964,65,3440,8740
1965,66,3580,9140
1966,67,3920,9500
1967,68,4260,9610
1968,69,4760,9910
1969,70,5270,10100
1970,71,5710,9980
1971,72,5880,10200
1972,73,6280,10600
1973,74,6620,11100
1974,75,6450,10800
1975,76,6540,10600
1976,77,6780,11000
1977,78,7070,11400
1978,79,7360,11800
1979,80,7680,11900
1980,81,7960,11800
1981,82,8200,12100
1982,83,8380,11700
1983,84,8580,12000
1984,85,8960,12800
1985,86,9300,13000
1986,87,9470,13300
1987,88,9820,13600
1988,89,10436.0418716094,14027.7913671371
1989,90,10952.1975953049,14391.4363076164
1990,91,11512.6986807748,14493.5510066712
1991,92,11837.85711763,14193.9277517417
1992,93,11885.9060555785,14510.416638421
1993,94,11881.2747846821,14764.609467221
1994,95,11949.6954019677,15265.1414686661
1995,96,12071.5768800437,15555.7461954458
1996,97,12473.904871261,15985.1842485856
1997,98,12671.7708596065,16530.7827681685
1998,99,12478.3778759052,17024.4429426506
1999,100,12523.2209943468,17594.464470295
2000,101,12798.1973155333,18238.0809743582
